title,link,price,page
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_1?dchild=1&keywords=headphones&qid=1620355201&sr=8-1,,amazon
"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Black (Latest Model)",/Beats-Solo3-Wireless-Ear-Headphones/dp/B07YVYZ8T5/ref=sr_1_2?dchild=1&keywords=headphones&qid=1620355201&sr=8-2,,amazon
"Kids Headphones-Noot Products K11 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Boys/Girls/School/Laptop/Travel/Plane/Tablet (Black)",/Kids-Headphones-products-Tangle-Free-Ear/dp/B07ZG1K4TK/ref=sr_1_3?dchild=1&keywords=headphones&qid=1620355201&sr=8-3,,amazon
Apple EarPods with 3.5mm Headphone Plug - White,/Apple-EarPods-3-5mm-Headphone-Plug/dp/B06X16Z7DZ/ref=sr_1_4?dchild=1&keywords=headphones&qid=1620355201&sr=8-4,,amazon
"Beats Flex Wireless Earbuds – Apple W1 Headphone Chip, Magnetic Earphones, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Black",/Beats-Flex-Wireless-Earphones-Built/dp/B08L6ZYW21/ref=sr_1_5?dchild=1&keywords=headphones&qid=1620355201&sr=8-5,,amazon
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_6?dchild=1&keywords=headphones&qid=1620355201&sr=8-6,,amazon
Bose SoundLink Around Ear Wireless Headphones II - Black,/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E/ref=sr_1_7?dchild=1&keywords=headphones&qid=1620355201&sr=8-7,,amazon
"Panasonic Full-Sized, Lightweight Long-Cord Headphones – RP-HT161-K (Black)",/Panasonic-Headphones-RP-HT161-K-Lightweight-Long-Corded/dp/B075LT8YLR/ref=sr_1_8?dchild=1&keywords=headphones&qid=1620355201&sr=8-8,,amazon
"Powerbeats High-Performance Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 15 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Black",/Powerbeats-High-Performance-Wireless-Earphones-Headphone/dp/B0858JWG2S/ref=sr_1_9?dchild=1&keywords=headphones&qid=1620355201&sr=8-9,,amazon
"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_10?dchild=1&keywords=headphones&qid=1620355201&sr=8-10,278,amazon
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Black",/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_11?dchild=1&keywords=headphones&qid=1620355201&sr=8-11,329,amazon
"Earbuds - Earphone - Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android All 3.5 mm Audio Devices (2 Pack)",/Earbuds-Headphones-Ear-Built-Microphone/dp/B08XV1QKH1/ref=sr_1_12?dchild=1&keywords=headphones&qid=1620355201&sr=8-12,,amazon
"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Space Black)",/LORELEI-X6-Headphones-Microphone-Lightweight/dp/B083P1HG9S/ref=sr_1_13?dchild=1&keywords=headphones&qid=1620355201&sr=8-13,,amazon
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_14?dchild=1&keywords=headphones&qid=1620355201&sr=8-14,,amazon
Sony MDR7506 Professional Large Diaphragm Headphone,/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_15?dchild=1&keywords=headphones&qid=1620355201&sr=8-15,,amazon
